TESTID,WellID,DepthMD,DepthTVDSS,Temp,GR,Resist_deep,Resist_medium,Resist_short,Density ,Neutron,FluidType,Subblock,Thickness,Reservior,Mobility
14,Well2,2399.5,2227.325057,94.23,44.7551,2.5318,2.6355,3.4361,2.2565,0.25493,W,I,9.711914,b4,249.47
15,Well2,2466,2279.336933,96.3,45.7771,2.7585,3.0652,4.1357,2.3057,0.2253,W,I,7.7146,b4,209.71
20,Well2,2783.3,2528.831697,106.67,44.6048,61.4907,56.072,40.5391,2.3343,0.1925,O,J,3.217773,c1,63.87
21,Well2,2785.7,2530.706846,107.13,46.3183,68.531,53.6928,52.8867,2.3347,0.21244,O,J,3.217773,c1,24.2
22,Well2,2789.2,2533.441439,107.62,51.9686,26.9497,34.2738,31.1757,2.3823,0.19515,O,J,1.548828,c1,2.12
23,Well2,2799.1,2541.176429,108.54,49.5639,9.9794,11.5077,14.2415,2.4652,0.14628,O?,J,0.357178,c1,0.79
25,Well2,2864.5,2592.31786,110.79,49.3234,16.9986,18.0347,24.5085,2.3228,0.2047,O,J,0.949219,c2,35.55
27,Well2,2882,2605.93827,111.55,50.7482,14.7702,15.7488,18.0355,2.3786,0.18844,O,J,1.421143,c2,11.55
28,Well2,2901.2,2620.856075,111.75,51.4878,37.7457,35.887,25.8018,2.3706,0.18938,O?,J,0.710205,c2,6.7
29,Well2,2906.2,2624.741822,112.54,49.6539,27.9355,31.1693,19.4591,2.4439,0.12988,O?,J,0.355225,c2,12.21
31,Well3,2228.8,2031.208471,84.62,54.3658,2.7354,2.9999,3.9132,2.3183,0.22709,W,I,7.441895,b3,114.87
32,Well3,2289.7,2089.542669,90.09,48.9367,3.1813,3.4096,4.2733,2.2943,0.22817,W,I,3.4486085,b4,51.15
33,Well3,2323.4,2121.860331,90.74,49.8353,3.0489,3.2864,4.0806,2.3012,0.2048,W,I,3.509277,b4,92.32
35,Well3,2370,2166.578108,91.88,58.3582,3.9532,4.315,5.1619,2.3602,0.19133,W,I,4.384277,b4,57.68
37,Well3,2411.4,2206.217831,93.55,52.9346,79.5939,92.0173,103.6003,2.3015,0.21907,O,I,5.098389,b4,215.96
38,Well3,2416.5,2211.090145,93.88,63.7505,36.7857,36.9901,36.3178,2.344,0.24748,O,I,0.728027,b4,13.26
40,Well3,2661.3,2441.001187,101.1,56.8703,9.0661,9.3546,10.0788,2.3733,0.2258,W,I,1.403809,c2,26.8
41,Well3,2669.1,2448.188997,101.99,39.7627,7.9001,7.4186,7.634,2.2982,0.22764,W,I,1.963135,c2,146.45
43,Well4,2504.4,2129.599011,89.08,44.8586,4.18,4.1051,4.822,2.3104,0.26495,O?,M,2.191162,c1,37.66
45,Well4,2526.2,2148.038632,91.09,45.3295,16.7239,20.1895,21.3104,2.2538,0.29237,O,M,1.416992,c1,208.88
46,Well4,2529,2150.413792,91.86,54.6012,9.7378,10.7184,10.6968,2.355,0.24375,O,M,0.902344,c1,31.61
51,Well4,2646.1,2250.013356,97.61,45.6237,3.8392,3.8749,4.5826,2.293,0.2398,W,M,1.810059,c2,287.85
52,Well4,2748.8,2338.0273,100.21,53.0699,5.1276,5.0175,5.2668,2.3194,0.23183,W,M,1.189697,c2,395.46
54,Well4,2802.4,2384.907457,101.07,50.474,6.6734,7.5892,9.7221,2.3237,0.23991,W,M,0.941895,c2,42.29
58,Well5,2357.1,2250.100977,95.43,57.0266,13.8053,14.1075,15.1043,2.2459,0.26299,O,I,0.957275,b4,9.43
60,Well5,2370,2261.595653,96.48,53.8561,66.0593,79.9215,91.889,2.2798,0.20398,O,I,6.386963,b4,77.26
63,Well5,2645.5,2491.174359,104.79,41.8507,27.4514,32.0737,35.222,2.3444,0.16323,O,J,1.988525,c1,15.52
64,Well5,2696.4,2532.443798,103.88,48.9359,9.7692,10.0935,11.2738,2.2922,0.20664,W,J,1.341309,c2,89.12
65,Well5,2713.3,2546.016621,105.7,64.5066,10.4844,11.4027,13.8893,2.3734,0.19242,W,J,1.215332,c2,4.11
68,Well5,2776.2,2597.120007,109.9,49.0153,59.7376,59.157,62.3028,2.256,0.25781,O,J,0.75293,c2,23.82
70,Well5,2790,2608.494199,110.73,57.3388,18.6803,24.5784,22.593,2.4383,0.17092,O,J,0.378662,c2,7.58
72,Well5,2818,2631.841159,111.46,75.4632,23.7122,24.353,24.8288,2.4837,0.18166,O,J,0.255859,c2,0.75
74,Well6,2215.3,2031.135722,84.9,43.5114,4.0312,4.0048,4.6029,2.3257,0.22055,W,I,5.33374,b3,1.29
75,Well6,2224.3,2040.135364,94.52,55.5292,4.872,5.7236,6.4179,2.4284,0.13803,W,I,1.676392,b3,10.87
77,Well6,2274,2089.83345,90.68,52.8177,4.7611,4.9196,5.5266,2.3083,0.23773,W,I,4.26709,b4,5.87
78,Well6,2301.6,2117.43158,92.53,54.543,3.6166,3.9343,4.9343,2.3055,0.23933,W,I,3.504639,b4,12.14
79,Well6,2318,2133.829119,92.89,40.6762,2.4213,2.4983,2.9437,2.2588,0.2474,W,I,8.228271,b4,186.49
81,Well6,2344.3,2160.124164,93.97,46.192,3.3937,3.4297,3.7778,2.3202,0.19535,W,I,11.122559,b4,72.93
82,Well6,2367.8,2183.617785,94.77,46.8391,3.4052,3.5178,4.012,2.3425,0.19187,W,I,4.265869,b4,13.02
83,Well6,2378.2,2194.014073,95.1,69.2418,17.7181,18.1734,17.2841,2.4148,0.21034,O?,I,2.589844,b4,1.38
84,Well6,2386,2201.811289,95.35,50.4755,89.3251,95.8515,66.8156,2.277,0.22401,O,I,3.503418,b4,41.21
86,Well7,2403.3,2213.226254,90.92,51.4015,21.8879,25.5814,27.4931,2.3236,0.23565,O,I,2.397217,c1,6.49
90,Well7,2483,2279.838191,98.97,54.8657,28.3874,29.2288,28.0831,2.4074,0.23912,O,I,1.402344,c2,16.87
91,Well7,2510.6,2302.799373,100.31,53.2226,15.0437,16.3838,21.3754,2.4001,0.19078,O?,I,3.275635,c2,3.15
93,Well7,2514.9,2306.351957,101.27,48.4141,13.9839,16.4972,19.9961,2.4095,0.16415,O?,I,0.503174,c2,20.12
95,Well7,2535.6,2323.441427,102.7,62.9296,21.1762,23.4326,26.0662,2.5048,0.15649,O?,I,0.125244,c2,0.54
96,Well7,2618,2390.894335,103.8,62.5116,15.4252,14.7352,16.3782,2.3993,0.23095,O?,I,0.376221,c2,5.06
101,Well7,2843.6,2579.379672,110.97,37.8861,49.8321,40.6396,35.4889,2.3892,0.23708,O,N,0.677246,c3,7.78
102,Well8,2340.5,1930.872654,78.36,60.9415,3.4662,3.5169,3.7694,2.3603,0.27798,W,I,2.49585,b3,1.84
103,Well8,2359,1946.820203,81.06,45.3344,60.7524,45.9522,46.6716,2.1913,0.19457,O,I,3.548218,b4,146.26
104,Well8,2376,1961.473951,82.85,49.16,14.1575,18.0993,17.1143,2.2231,0.26451,O,I,1.70752,b4,109.53
105,Well8,2384.3,1968.628419,84.44,52.7734,19.0703,16.6861,16.2752,2.2554,0.22444,O,I,1.969971,b4,70.48
109,Well8,2424,2002.944127,88.53,50.6177,37.4917,35.8154,31.6506,2.2598,0.24903,O,I,7.001099,b4,209.98
111,Well8,2443.5,2019.859644,89.86,59.6357,20.0282,20.4459,20.087,2.2705,0.21229,O,I,1.588135,b4,199.32
112,Well8,2448.7,2024.379848,90.4,64.9798,7.6924,7.61,7.7428,2.3774,0.24928,O?,I,2.783447,b4,7.18
114,Well9,2311.7,2221.396895,90.01,46.1212,3.4649,3.6485,4.0554,2.2615,0.25411,W,I,4.618652,b4,75.95
115,Well9,2321.6,2230.235455,90.7,42.7684,2.8881,3.1856,4.5953,2.2922,0.21387,W,I,4.992188,b4,64.58
116,Well9,2329.5,2237.194726,93.88,45.2754,3.3546,3.8371,5.1786,2.2965,0.24154,W,I,2.697998,b4,15.86
117,Well9,2550,2418.34173,99.1,44.46,50.6338,55.6444,47.6042,2.32,0.21545,O,J,1.079102,c1,13.89
118,Well9,2568.6,2431.764464,101.05,52.0112,42.9255,53.6367,42.4354,2.3706,0.20986,O,J,1.753662,c1,6.37
122,Well9,2701.8,2526.620878,109.19,37.9057,55.0325,73.5798,61.6765,2.3113,0.20478,O,J,2.293213,c2,43.32
123,Well9,2721.3,2540.402227,109.43,36.1239,69.1821,99.7171,54.873,2.3294,0.17723,O,J,2.158203,c2,36.97
125,Well9,2851.1,2632.311956,111.92,41.5602,25.1646,32.9489,25.997,2.3435,0.18404,O,J,1.888428,c2,1.85
126,Well9,2861.8,2639.874697,112.34,39.3857,12.3311,13.5307,15.1443,2.4025,0.17975,W,J,7.149414,c2,12.07
133,Well9,2949.4,2701.872324,115.81,46.1211,12.0427,12.7064,13.2348,2.4218,0.13794,O?,J,1.618896,c2,1.81
136,Well9,3074.4,2790.189308,117.99,35.6707,10.3603,10.5374,11.2739,2.3748,0.17283,W,J,1.214111,c3,2.12
138,Well10,2590.8,2120.94777,88.3,35.5077,1.3303,1.4816,1.7116,2.3311,0.18703,W,N,4.892822,b4,186.55
140,Well10,2884.4,2363.865004,98.67,47.9601,11.3229,11.8806,13.0851,2.3427,0.17529,W,R,0.882568,c1,0.74
143,Well10,2893.3,2371.228223,103.71,49.5206,9.1255,9.4178,9.5362,2.3128,0.20769,W,R,0.883057,c1,5.18
144,Well10,2953.6,2421.110702,100.85,50.253,16.0035,19.9561,18.4551,2.2868,0.20608,O,R,1.635498,c2,71.75
145,Well10,3026.7,2481.530509,103.67,42.8647,15.2615,19.5803,20.4559,2.2351,0.25489,O,R,1.38501,c2,53.16
146,Well10,3066.8,2514.655319,104.58,48.5013,5.8574,6.2944,6.5669,2.3333,0.18802,W,R,1.26001,c2,24.62
147,Well10,3196.4,2621.782779,107.44,47.4502,10.1957,11.4682,12.1961,2.3518,0.18421,W,R,0.881836,c2,10.25
149,Well10,3249.6,2665.711487,109.22,41.5907,12.6056,13.6355,14.2589,2.3418,0.16287,W,R,4.151611,c3,10.3
151,Well11,2498,2278.100132,100.06,38.2433,2.3112,2.4542,2.8998,2.2447,0.218122,W,I,4.49,b3,33.25
152,Well11,2547,2325.766535,101.71,39.5406,2.5004,2.6877,3.1797,2.2655,0.20662,W,I,4.76,b3,43.72
153,Well11,2587.5,2365.093238,103.71,55.1236,50.6319,48.3986,47.0857,2.2934,0.215865,O,I,1.84,b4,13.31
155,Well11,2589.5,2367.035559,105.56,55.8762,44.168,44.0414,43.7083,2.2834,0.213119,O,I,1.26,b4,45.42
157,Well11,2811,2582.098439,112.85,49.125,27.8064,27.6731,27.6111,2.3816,0.179627,O,J,1.07,c1,0.5
158,Well11,2816.2,2587.146244,113.1,35.9119,38.8706,38.9315,39.6899,2.4087,0.135995,O,J,0.58,c1,2.34
161,Well11,2869.2,2638.596565,115.02,52.5122,18.573,18.0466,17.9862,2.4127,0.175761,O,J,0.97,c2,2.07
162,Well11,2872.2,2641.510076,115.26,56.0261,19.645,19.7779,20.3346,2.3976,0.146233,O,J,0.68,c2,6.39
164,Well11,2882.2,2651.221227,115.32,65.8579,13.3289,13.4256,13.2462,2.4517,0.146822,O?,J,0.49,c2,0.35
165,Well11,2889.1,2657.921052,115.4,57.6933,12.2062,12.4402,12.9622,2.4038,0.178924,O,J,0.97,c2,12.78
167,Well11,2892,2660.736921,115,53.7441,11.4021,11.6095,12.3174,2.4502,0.111552,O?,J,0.78,c2,0.19
168,Well11,2893.5,2662.193404,114.85,49.6529,9.1629,9.4086,9.9175,2.3293,0.200905,O?,J,0.68,c2,6.7
170,Well11,2901.8,2670.252614,114.51,53.0219,15.6927,16.0206,16.4324,2.3743,0.196802,O,J,0.58,c2,15.68
171,Well11,2902,2670.446812,115.99,64.1676,12.8402,13.1487,13.5282,2.3865,0.178209,O,J,0.58,c2,22.02
173,Well11,2916.5,2684.524382,113.11,111.5466,23.9069,24.1398,24.6459,2.4841,0.217044,O,J,,c2,8.65
174,Well12,2077.5,2005.33,88.1965,53.4224,3.3316,3.5129,4.0484,2.3388,0.1978,W,I,6.7,b1,16.46
175,Well12,2209.5,2137.32,91.4437,35.9197,2.3199,2.4121,2.7146,2.2842,0.2188,W,I,5.1,b3,98.29
176,Well12,2235,2162.82,92.071,40.106,2.6648,2.8101,3.1614,2.2811,0.1983,W,I,3.2,b3,28.46
179,Well12,2279.5,2207.311242,93.1657,45.673,111.0563,101.092,94.5113,2.2703,0.1783,O,I,2.4,b4,11.5
180,Well12,2282.5,2210.310201,93.2395,55.1649,83.9257,82.6429,79.3239,2.265,0.1945,O,I,2.2,b4,14.16
181,Well12,2285.5,2213.308325,93.3133,81.2102,18.6911,19.2088,19.7101,2.3833,0.2025,O,I,0.6,b4,7.86
182,Well13,2613,2325.773461,101.3698,39.2562,2.206,2.3918,2.6528,2.2745,0.225637,W,I,8.98,b3,2.94
183,Well13,2713,2420.336843,103.8298,54.2342,28.0482,28.9421,28.8034,2.2966,0.210399,O,I,2.2,b4,5.54
185,Well13,2863,2565.958655,107.5198,48.976,66.4344,63.4704,56.781,2.3156,0.190217,O,J,1.17,c1,7.24
186,Well13,2865,2567.910785,107.569,43.0336,92.0344,92.4485,85.5005,2.2921,0.184169,O,J,1.46,c1,6.6
187,Well13,2931.8,2632.609997,109.21228,41.4428,15.2253,15.8785,15.8148,2.3784,0.171581,O,J,0.86,c1,12.83
191,Well13,2967.7,2667.009817,110.09542,43.0033,27.3731,28.1048,27.3332,2.3862,0.179745,O,J,0.48,c1,0.36
195,Well13,3022,2718.915341,111.4312,57.5308,10.4557,11.0753,11.2625,2.4648,0.157462,O?,J,0.48,c2,1.91
196,Well13,3026.5,2723.237351,111.5419,59.1963,13.9365,14.6275,14.6654,2.4157,0.168805,O?,J,0.48,c2,0.84
197,Well14,1603,1417.988331,82.94444444,46.8059,2.323,,,2.1428,0.293,W,K,4.16272,a,96
198,Well14,1623,1435.647982,84.22222222,51.7873,2.636,,,2.1691,0.309,W,K,3.922485,a,259.4
199,Well14,1706.5,1508.824184,70.27777778,47.512,2.684,,,2.2568,0.273,W,K,3.841797,b1,50.4
203,Well14,1771,1562.890654,82.16666667,45.3407,3.323,,,2.232,0.289,W,K,1.845337,b1,69.2
204,Well14,1795,1581.937337,81.83333333,42.419,16.492,,,2.1621,0.262,O,K,2.249634,b1,331.1
205,Well14,1809.3,1592.906704,80.83333333,64.5669,6.751,,,2.34,0.256,O,K,0.579834,b1,8.1
206,Well14,1840.5,1616.424586,83.55555556,33.4718,22.707,,,2.1621,0.242,O,K,5.240479,b1,1050.6
207,Well14,1847,1621.286285,83.16666667,38.8511,24.107,,,2.1282,0.272,O,K,2.843628,b1,1071.8
208,Well14,1870,1638.405411,82.72222222,43.8694,42.288,,,2.2101,0.308,O,S,2.716431,b3,168
210,Well14,1903.4,1663.043336,85.16666667,51.1147,29.259,,,2.189,0.24,O,S,6.36377,b3,24.9
211,Well14,1913.5,1670.442019,84.83333333,54.6048,20.765,,,2.2298,0.23,O,S,2.791016,b3,232.1
212,Well14,1945,1693.450712,85.27777778,53.374,12.964,,,2.2281,0.269,O,S,1.885742,b3,226.3
213,Well14,1969.9,1711.48539,85.54954,53.63,2.399,,,2.2506,0.256,W,S,3.626709,b3,112.5
214,Well14,1981,1719.483469,85.8226,73.6581,7.636,,,2.2843,0.263,O,S,1.422119,b3,92.7
215,Well14,1994,1728.811527,86.1424,49.9817,1.672,,,2.212,0.274,W,S,3.276123,b4,156.3
216,Well14,2001.5,1734.183791,86.3269,45.7511,1.879,,,2.2297,0.25,W,S,6.439697,b4,599.1
217,Well14,2018.5,1746.343214,85.94444444,60.138,2.669,,,2.2888,0.251,W,S,2.834229,b4,9.7
218,Well14,2031.5,1755.615449,87.0649,38.7454,1.496,,,2.1594,0.267,W,S,8.922729,b4,561.3
219,Well14,2052.5,1770.593674,87.5815,44.4349,2.391,,,2.239,0.257,W,S,4.668335,b4,212.8
220,Well14,2070.5,1783.418625,88.0243,52.5596,1.941,,,2.2191,0.26,W,S,11.252808,b4,227.9
221,Well14,2105,1807.765774,88.873,40.5843,2.318,,,2.2333,0.246,W,S,5.783936,b4,86.4
222,Well15,1553.5,1405.197325,84,59.1868,3.231,,,2.2386,0.30199,W,K,5.11499,a,57.7
223,Well15,1702.5,1509.322058,85.77777778,48.7704,3.84,,,2.2439,0.264014,W,K,2.946045,b1,20.5
224,Well15,1810,1580.584212,79.33333333,37.4355,2.763,,,2.2497,0.255992,W,K,7.553833,b1,33.6
225,Well15,1847,1604.953781,81.77777778,43.1637,2.7321,,,2.2588,0.229,W,K,2.303711,b1,1
226,Well15,1859.1,1612.868133,82.72222222,41.9248,2.891,,,2.2327,0.283997,W,K,5.981934,b1,154.8
227,Well15,1897,1637.101357,82.94444444,39.4673,2.525,,,2.1711,0.247,W,K,1.504639,b1,233.1
228,Well15,1909,1644.479606,83.22222222,48.5141,4.138,,,2.3679,0.195992,W,K,2.502441,b1,0.5
229,Well15,1951,1669.775431,83.77777778,36.5721,1.988,,,2.2125,0.254001,W,K,4.725708,b1,49.1
230,Well15,1974.5,1683.736765,84.22222222,29.6785,1.5581,,,2.156,0.287,W,K,7.588623,b1,1139.3
231,Well15,2002.5,1700.220444,84.72222222,45.1808,22.5322,,,2.2238,0.256011,O,S,3.744263,b3,91.2
232,Well15,2030,1715.817861,86.16666667,48.837,12.3681,,,2.267,0.222992,O,S,2.174194,b3,0.9
233,Well15,2045,1724.033296,86.5,50.4113,15.2887,,,2.2019,0.250996,O,S,2.750366,b3,20.6
234,Well15,2054.5,1729.053449,86.66666667,51.812,18.7491,,,2.2616,0.245996,O,S,5.314209,b3,128
235,Well15,2064,1734.073601,86.83333333,60.7963,11.9435,,,2.2767,0.240002,O,S,2.647827,b3,26.6
236,Well15,2074.5,1739.622192,88.1227,43.2624,8.191,,,2.3125,0.220996,O,S,2.569214,b3,0.7
237,Well15,2085,1745.170782,88.381,53.4928,3.691,,,2.3096,0.225994,W,S,2.498413,b3,2.5
238,Well15,2088.5,1747.020312,88.4671,59.5527,3.3161,,,2.2779,0.213998,W,S,0.887939,b3,104.6
239,Well15,2109.5,1758.185825,88.9837,57.2809,5.34,,,2.2892,0.185003,O?,S,1.463135,b3,4.6
240,Well15,2140.5,1774.763925,89.7463,48.2579,1.561,,,2.1849,0.269995,W,S,8.819214,b4,1501.4
241,Well15,2174,1792.827294,90.5704,38.5646,1.585,,,2.2029,0.257998,W,S,12.71936,b4,145.3
242,Well15,2188.1,1800.510357,90.91726,50.8638,2.037,,,2.2528,0.256001,W,S,2.500244,b4,7.1
243,Well15,2214,1814.706246,91.5544,49.7647,2.317,,,2.2735,0.229995,W,S,7.450317,b4,49.8
244,Well15,2236.5,1827.078284,89.22222222,41.3089,2.775,,,2.2747,0.218994,W,S,4.699097,b4,224.8
245,Well15,2250,1834.539245,88.88888889,42.8961,2.8979,,,2.2538,0.244001,W,S,4.799683,b4,30.5
247,Well16,1755,1596.064191,84.33333333,64.5896,3.9131,,,2.3559,0.242999,W,K,2.491089,b1,44.3
248,Well16,1785,1623.339563,84.66666667,45.7043,2.8619,,,2.2526,0.278,W,K,4.577515,b1,35
249,Well16,1795,1632.444385,85.22222222,45.0326,3.348,,,2.2872,0.251998,W,K,3.192993,b1,108.1
250,Well16,1845.3,1678.297669,87.16666667,45.1349,2.118,,,2.2735,0.243998,W,K,9.86438,b1,2.1
251,Well16,1922.5,1748.956127,89.38888889,39.5991,2.053,,,2.2626,0.242989,W,K,3.923096,b1,217.7
252,Well16,1955.5,1779.344758,89.50555556,45.8554,2.0651,,,2.2655,0.24799,W,K,2.250488,b3,49.5
253,Well16,1962,1785.342899,89.88888889,40.3333,2.6151,,,2.2801,0.225002,W,K,6.895996,b3,143.9
254,Well16,2004.5,1824.631828,90.5,48.4079,2.379,,,2.3298,0.229004,W,K,6.064331,b3,21.7
255,Well16,2018.5,1837.589313,90.11111111,32.4086,3.792,,,2.4292,0.132033,W,K,4.233521,b3,42.5
256,Well16,2026.5,1844.998911,91,58.5993,2.8141,,,2.3409,0.212004,W,K,4.516602,b3,2.3
257,Well16,2048.5,1865.384211,87.4831,52.7314,2.6521,,,2.3258,0.216994,W,K,5.369263,b4,4.6
258,Well16,2076,1890.897159,88.1596,43.3203,1.917,,,2.2664,0.253994,W,K,6.792114,b4,80.7
259,Well16,2081,1895.539589,88.2826,53.7121,2.326,,,2.3219,0.222999,W,K,2.122559,b4,6.7
260,Well16,2093.5,1907.145661,88.5901,43.5312,2.3511,,,2.3159,0.250001,W,K,3.537598,b4,10.4
261,Well16,2121.5,1933.190098,89.2789,46.6815,2.6778,,,2.2882,0.242994,W,K,3.265869,b4,36.9
262,Well16,2126,1937.379183,89.3896,48.3598,2.046,,,2.2697,0.234993,W,K,2.983887,b4,110.3
263,Well16,2139,1949.503488,89.7094,42.1245,2.346,,,2.3157,0.221998,W,K,5.543213,b4,7.6
264,Well16,2146,1956.03196,89.8816,42.9284,2.754,,,2.3665,0.171999,W,K,5.686279,b4,11.3
265,Well16,2157,1966.293626,90.05555556,52.7664,3.6959,,,2.322,0.212997,W,K,4.692383,b4,20.9
312,Well17,2921.7,2507.003709,108.96382,51.043,5.6362,,,2.3814,0.183708,W,G,1.92627,c3,36.2
313,Well17,2963.5,2540.126379,109.9921,54.8619,12.1064,,,2.3274,0.209597,W,G,0.965576,c3,10.4
314,Well17,2963.5,2540.126379,109.9921,54.8619,12.1064,,,2.3274,0.209597,W,G,0.965576,c3,10.4
315,Well17,2974,2548.443075,110.2504,64.3291,7.3652,,,2.4136,0.158495,W,G,1.082275,c3,2.57
322,Well17,3019.5,2583.994496,111.3697,84.4618,8.0349,,,2.3939,0.20832,O,G,0.471436,c3,3.2
323,Well17,3042,2601.314221,111.9232,45.185,9.056,,,2.4238,0.172018,O,G,3.146729,c3,12.73
328,Well17,3273.5,2768.924299,117.6181,34.9118,27.807,,,2.5346,0.218531,O,D,,c4,0.42
332,Well17,3342.2,2817.586709,119.30812,52.1059,14.0804,,,2.4623,0.158142,O,D,0.855225,c4,0.3
333,Well17,3342.2,2817.586709,119.30812,52.1059,14.0804,,,2.4623,0.158142,O,D,0.855225,c4,0.3
334,Well17,3342.2,2817.586709,119.30812,52.1059,14.0804,,,2.4623,0.158142,O,D,0.855225,c4,0.3
337,Well18,1749.11,1600.246078,80.118106,54.8251,3.101,,,2.256,0.256,O,H,,,15.05
338,Well18,1780.58,1628.34493,80.892268,49.6832,5.392,,,2.2481,0.247,O,H,2.797729,b1,207.4
341,Well18,1823.53,1665.636811,81.948838,59.1569,2.853,,,2.2343,0.281,W,D,2.505371,b3,10.73
343,Well18,1843.04,1682.463416,82.428784,46.605,41.561,,,2.1579,0.249,O,D,6.161011,b3,162.19
344,Well18,1845.57,1684.641092,82.491022,47.5032,21.514,,,2.2119,0.25,O,D,6.161011,b3,511.54
345,Well18,1848.03,1686.758516,82.551538,49.3334,23.81,,,2.2053,0.237,O,D,6.161011,b3,429.58
347,Well18,1870.05,1705.719543,83.09323,64.9159,4.27,,,2.3058,0.24,O,D,2.757568,b3,21.42
348,Well18,1897.07,1729.199396,83.757922,63.1982,2.228,,,2.3415,0.236,W,D,1.603638,b3,14.9
349,Well18,1957.44,1782.129911,85.243024,62.3368,11.674,,,2.2457,0.241,O,D,3.050903,b4,267.35
350,Well18,1959.59,1784.006658,85.295914,62.296,5.939,,,2.2337,0.268,O,D,3.050903,b4,75.83
351,Well18,1979.05,1800.880677,85.77463,63.3987,2.324,,,2.2772,0.238,W,D,3.426147,b4,102.58
352,Well18,1995.04,1814.700008,86.167984,55.1973,2.578,,,2.3445,0.236,W,D,5.248413,b4,69.72
353,Well19,1938.46,1481.306027,84.776116,43.705,4.71,,,2.28,0.23,W,K,,,28.64
354,Well19,1964.47,1494.310999,85.415962,47.121,3.54,,,2.32,0.24,W,K,7.257446,,1.89
355,Well19,1995.02,1509.614713,86.167492,45.671,3.41,,,2.29,0.26,W,K,7.041138,,16.88
